UID          PID    PPID  C    SZ   RSS PSR STIME TTY          TIME CMD
root           1       0  3  6563 16740  10 09:49 ?        00:00:02 /usr/lib/systemd/systemd --switched-root --system --deserialize=53 splash
sanjevi     1881    1756  0 259091 64204  3 09:49 ?        00:00:00 node /home/sanjevi/.local/bin/portless proxy start --foreground --no-tls -p 1355
sanjevi     1882    1756  0 450839 25328 11 09:49 ?        00:00:00 rootlesskit --state-dir=/run/user/1000/dockerd-rootless --net=slirp4netns --mtu=65520 --slirp4netns-sandbox=auto --slirp4netns-seccomp=auto --disable-host-loopback --port-driver=builtin --copy-up=/etc --copy-up=/run --propagation=rslave --detach-netns /usr/bin/dockerd-rootless.sh
sanjevi     1883    1756  0 26063 10896  10 09:49 ?        00:00:00 /usr/bin/pipewire
sanjevi     1905    1756  0  1890  3984   7 09:49 ?        00:00:00 /usr/bin/mpris-proxy
sanjevi     1906    1756  0 122919 23552  3 09:49 ?        00:00:00 /usr/bin/wireplumber
sanjevi     1907    1756  0 21853  5580   5 09:49 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
rtkit       1908       1  0  5468  3508   9 09:49 ?        00:00:00 /usr/libexec/rtkit-daemon
sanjevi     1910    1756  0 27115 11500   1 09:49 ?        00:00:00 /usr/bin/pipewire-pulse
sanjevi     1925    1882  0 506202 25100 11 09:49 ?        00:00:00 /proc/self/exe --state-dir=/run/user/1000/dockerd-rootless --net=slirp4netns --mtu=65520 --slirp4netns-sandbox=auto --slirp4netns-seccomp=auto --disable-host-loopback --port-driver=builtin --copy-up=/etc --copy-up=/run --propagation=rslave --detach-netns /usr/bin/dockerd-rootless.sh
sanjevi     1976    1882  0  1643  3888   3 09:49 ?        00:00:00 slirp4netns --mtu 65520 -r 3 --disable-host-loopback --enable-seccomp --userns-path=/proc/1925/ns/user --netns-type=path /proc/1925/root/run/user/1000/dockerd-rootless/netns tap0
sanjevi     1984    1925  0 688155 86880  7 09:49 ?        00:00:00 dockerd
sanjevi     2014    1984  0 597586 64816 10 09:49 ?        00:00:00 containerd --config /run/user/1000/docker/containerd/containerd.toml
sanjevi     2184    1756  0 153990 7664  10 09:49 ?        00:00:00 /usr/libexec/xdg-document-portal
sanjevi     2194    1756  0 77491  6656   0 09:49 ?        00:00:00 /usr/libexec/xdg-permission-store
root        2203    2184  0   698  2200   6 09:49 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
root        2439       2  0     0     0   9 09:49 ?        00:00:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root        2440       2  0     0     0  11 09:49 ?        00:00:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root        2441       2  0     0     0  11 09:49 ?        00:00:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root        2442       2  0     0     0  11 09:49 ?        00:00:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root        2443       2  0     0     0  11 09:49 ?        00:00:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root        2444       2  0     0     0  11 09:49 ?        00:00:00 [kworker/R-dm_vblank_control_workqueue]
root        2445       2  0     0     0  10 09:49 ?        00:00:00 [card1-crtc0]
root        2446       2  0     0     0  10 09:49 ?        00:00:00 [card1-crtc1]
root        2447       2  0     0     0  10 09:49 ?        00:00:00 [card1-crtc2]
root        2448       2  0     0     0  10 09:49 ?        00:00:00 [card1-crtc3]
root        2449       2  0     0     0  10 09:49 ?        00:00:00 [card1-crtc4]
root        2451       2  0     0     0   9 09:49 ?        00:00:00 [kworker/R-gfx_0.0.0]
root        2452       2  0     0     0  10 09:49 ?        00:00:00 [kworker/R-gfx_0.1.0]
root        2453       2  0     0     0   9 09:49 ?        00:00:00 [kworker/R-comp_1.0.0]
root        2454       2  0     0     0  10 09:49 ?        00:00:00 [kworker/R-comp_1.1.0]
root        2455       2  0     0     0   9 09:49 ?        00:00:00 [kworker/R-comp_1.2.0]
root        2456       2  0     0     0  10 09:49 ?        00:00:00 [kworker/R-comp_1.3.0]
root        2457       2  0     0     0  10 09:49 ?        00:00:00 [kworker/R-comp_1.0.1]
root        2458       2  0     0     0  10 09:49 ?        00:00:00 [kworker/R-comp_1.1.1]
root        2459       2  0     0     0   9 09:49 ?        00:00:00 [kworker/R-comp_1.2.1]
root        2460       2  0     0     0  10 09:49 ?        00:00:00 [kworker/R-comp_1.3.1]
root        2461       2  0     0     0   9 09:49 ?        00:00:00 [kworker/R-sdma0]
